,LanguageWorkedWith
0,HTML/CSS;Java;JavaScript;Python
1,C++;HTML/CSS;Python
2,HTML/CSS
3,C;C++;C#;Python;SQL
4,C++;HTML/CSS;Java;JavaScript;Python;SQL;VBA
5,Java;R;SQL
6,HTML/CSS;JavaScript
7,Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;Python;SQL
8,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;Python;Ruby;Rust;SQL;TypeScript;WebAssembly;Other(s):
9,C#;Go;JavaScript;Python;R;SQL
10,Other(s):
11,Bash/Shell/PowerShell;HTML/CSS;Java;Python;R;SQL
12,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;SQL;TypeScript
13,C++
14,Assembly;Bash/Shell/PowerShell;C;C++;HTML/CSS;Java;JavaScript;PHP;SQL
15,Bash/Shell/PowerShell;C#;HTML/CSS;JavaScript;TypeScript;VBA
16,Bash/Shell/PowerShell;HTML/CSS;JavaScript;TypeScript
17,Python;R
18,C#;HTML/CSS;Java;JavaScript;SQL;TypeScript
19,Bash/Shell/PowerShell;C#;HTML/CSS;Java;JavaScript;PHP;Python;R;SQL
20,Assembly;Bash/Shell/PowerShell;C;C++;Go;Java;JavaScript;Kotlin;Python;Rust;SQL;Swift
21,Bash/Shell/PowerShell;C++;HTML/CSS;JavaScript;Python;Ruby;SQL;TypeScript
22,Bash/Shell/PowerShell;HTML/CSS;JavaScript;Python;Ruby;SQL
23,HTML/CSS;JavaScript;PHP;TypeScript
24,HTML/CSS;JavaScript;PHP;SQL;TypeScript
25,Bash/Shell/PowerShell;C++;C#;HTML/CSS;JavaScript;PHP;Python;Ruby;SQL;Swift;TypeScript;VBA
26,C++;JavaScript;Python;Ruby;SQL;TypeScript
27,JavaScript;TypeScript
28,Bash/Shell/PowerShell;JavaScript;SQL
29,
30,Python
31,Bash/Shell/PowerShell;HTML/CSS;JavaScript;PHP;Python
32,C++;Python;R
33,HTML/CSS;JavaScript
34,HTML/CSS;JavaScript
35,Java;Kotlin;Python
36,Bash/Shell/PowerShell;JavaScript;Python;Other(s):
37,C#;HTML/CSS;JavaScript;SQL
38,C#;JavaScript;SQL;TypeScript
